ipa,id,description,ph.anterior,ph.approximant,ph.atr,ph.back,ph.click,ph.consonantal,ph.constr,ph.continuant,ph.coronal,ph.delrel,ph.distributed,ph.dorsal,ph.ejective,ph.fortis,ph.front,ph.high,ph.implosive,ph.labial,ph.labiodental,ph.lateral,ph.long,ph.low,ph.nasal,ph.periodic,ph.pharyngeal,ph.round,ph.rtr,ph.short,ph.sonorant,ph.spread,ph.stress,ph.strident,ph.syllabic,ph.tap,ph.tense,ph.tone,ph.trill,fk.cm,fk.cp,fk.cs,fk.gc,fk.init,fk.phon,fk.pri,fk.pros,fk.sec,fk.tone,fk.vh,fk.vm,fk.vv,notes
ĩ,274,(voiced) (nasal-vowel) (close) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,-,0,-,-,-,+,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,frnt,vnsl,clos,
dː,296,(long) (voiced) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,void,,long,,,,,,
ĭ,536,(brief) (voiced) (close) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,-,0,-,-,-,-,+,-,0,-,+,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,brev,,,frnt,,clos,
ɻʲ,1873,(voiced) (palatalized) (retroflex) (pulmonic-egressive) (approximant) (simplex) (consonant),-,+,0,+,-,+,-,+,+,0,-,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,rtfx,smpx,cons,plme,void,,,pltz,,,,,
ŋmˤ,1841,(voiced) (pharyngealized) (labiovelar) (pulmonic-egressive) (nasal) (complex) (consonant),0,-,-,-,-,+,-,-,-,0,0,+|-,-,-,-,+,-,-|+,-,-,-,-,+,+,-,-,+,-,+,-,-,0,-,-,0,0,-,nasl,lvlr,cmpx,cons,plme,void,,,phrz,,,,,
ɻʷ,1874,(voiced) (labialized) (retroflex) (pulmonic-egressive) (approximant) (simplex) (consonant),-,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,+,0,-,-,0,-,+,-,+,0,-,+,-,-,-,-,-,0,0,-,appr,rtfx,smpx,cons,plme,void,,,lblz,,,,,
d̩,1066,(syllabic) (voiced) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,+,-,0,0,-,stop,alvr,smpx,cons,plme,void,,syll,,,,,,
d̤,276,(breathy) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,+,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,brth,,,,,,,,
z̻,174,(voiced) (laminal) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,void,lmnl,,,,,,,
d̠,1505,(voiced) (retracted) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),-,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,void,retr,,,,,,,
ʊ̈ː,863,(long) (voiced) (centralized) (round) (nearclose) (nearback) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,-,+,-,+,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,ctrz,long,,,nbck,roun,ncls,
d̺,2766,(voiced) (apical) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,void,apcl,,,,,,,
d̻,149,(voiced) (laminal) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,void,lmnl,,,,,,,
mbz,2512,(voiced) (bilabio-alveolar) (pulmonic-egressive) (affricate) (pre-nasalized) (consonant),+,-,0,0,-,+,-,-|+,-|+,-|+,-,-,-,-,0,0,-,+|-,-,-,-,0,+|-|-,+,-,-,0,-,+|-|-,-,-,+,-,-,0,0,-,affr,balv,pnsz,cons,plme,void,,,,,,,,
ʙ,2409,(voiced) (bilabial) (pulmonic-egressive) (trill) (simplex) (consonant),0,+,0,0,-,+,-,+,-,0,0,-,-,-,0,0,-,+,-,-,-,0,-,+,-,-,0,-,+,-,-,0,-,-,0,0,+,tril,blab,smpx,cons,plme,void,,,,,,,,
iˠ,1783,(voiced) (velarized) (close) (front) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,vlrz,,frnt,,clos,
mbv,2513,(voiced) (bilabio-labiodental) (pulmonic-egressive) (affricate) (pre-nasalized) (consonant),0,-,0,0,-,+,-,-,-,+,0,-,-,-,0,0,-,+,+,-,-,0,+|-,+,-,-,0,-,+|-,-,-,0,-,-,0,0,-,affr,blbd,pnsz,cons,plme,void,,,,,,,,
iˤ,1440,(voiced) (pharyngealized) (close) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,-,0,-,-,-,-,+,-,0,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,phrz,,frnt,,clos,
d̰,202,(creaky) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,+,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,crky,,,,,,,,
õ̞ãˤ,1654,(voiced) (lowered) (pharyngealized) (nasal-vowel) (closemid and open) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-,-,-,+|-,-,-,-,-|+,+,+,-,+,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,phrz,,back|frnt,vnsl,cmid|open,
iː,6,(long) (voiced) (close) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,-,0,-,+,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,long,,,frnt,,clos,
d̃,1933,(voiced) (nasalized) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,+,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,void,nasz,,,,,,,
d̞,2801,(voiced) (lowered) (alveolar) (pulmonic-egressive) (approximant) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,appr,alvr,smpx,cons,plme,void,lwrd,,,,,,,
ɡ̤̥,471,(voiceless) (velar) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,+,-,0,-,-,0,0,-,stop,velr,smpx,cons,plme,voil,,,,,,,,
ieː,2269,(long) (voiced) (close and closemid) (front and front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+|-,-,-,0,-,+,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,long,,,frnt|frnt,,clos|cmid,
iˀ,2224,(voiced) (glottalized) (close) (front) (glottal-egressive) (post-glottalized) (vowel),0,+,-,-,0,-,+,+,-,0,0,+,-,0,+,+,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,tglz,vowl,glte,void,,,gltz,,frnt,,clos,
ˀw̥,791,(voiceless) (labialized) (velar) (pulmonic-egressive) (approximant) (pre-glottalized) (consonant),0,+,0,+,-,-,-,+,-,0,0,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,0,-,+,+,-,0,-,-,+,0,-,appr,velr,pglz,cons,plme,voil,,,lblz,,,,,
*R,1482,(voiced) (uvular) (pulmonic-egressive) (trill) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,0,0,0,0,tril,uvlr,smpx,cons,plme,void,,,,,,,,
iʰ,2884,(voiced) (close) (front) (pulmonic-egressive) (post-aspirated) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,-,0,-,-,-,-,+,-,0,-,-,+,+,-,0,+,-,+,0,-,,,tasp,vowl,plme,void,,,,,frnt,,clos,
ɒ̤,1495,(breathy) (open) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,+,-,+,-,+,-,-,+,+,-,0,+,-,0,0,-,,,,vowl,plme,brth,,,,,back,,open,
d̪l̪,1604,(voiced) (lateral-release) (dental) (pulmonic-egressive) (stop) (complex) (consonant),+,-|+,0,0,-,+,-,-|+,+,-,+,-,-,-,0,0,-,-,0,-|+,-,0,-,+,-,0,0,-,-|+,-,-,-,-,-,0,0,-,stop,dntl,cmpx,cons,plme,void,,,latr,,,,,
ŋmʲ,2236,(voiced) (palatalized) (labiovelar) (pulmonic-egressive) (nasal) (complex) (consonant),0,-,0,+,-,+,-,-,-,0,0,+,-,-,+,+,-,-|+,-,-,-,-,+,+,-,-,0,-,+,-,-,0,-,-,0,0,-,nasl,lvlr,cmpx,cons,plme,void,,,pltz,,,,,
ˀw̰,2181,(creaky) (labialized) (velar) (pulmonic-egressive) (approximant) (pre-glottalized) (consonant),0,+,0,+,-,-,+,+,-,0,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+,0,-,+,-,-,0,-,-,+,0,-,appr,velr,pglz,cons,plme,crky,,,lblz,,,,,
d̤z,2856,(breathy) (alveolar) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,-,-,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,+,-,+,-,-,0,0,-,affr,alvr,cmpx,cons,plme,brth,,,,,,,,
ɻː,2110,(long) (voiced) (retroflex) (pulmonic-egressive) (approximant) (simplex) (consonant),-,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,rtfx,smpx,cons,plme,void,,long,,,,,,
d͈,597,(voiced) (fortis) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,+,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,void,frts,,,,,,,
ɒ̝,1722,(voiced) (raised) (round) (open) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,+,-,+,-,+,-,-,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,razd,,,,back,roun,open,
ɡ̰ǂ͓ˡx,1665,(creaky) (mid-centralized) (lateral-release) (palatal) (velaric-ingressive) (click) (simplex) (consonant),-,-,0,-,+,+,+,-,+,+,+,+,-,-,-,+,-,-,0,-|+,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,palt,smpx,cons,veli,crky,mctr,,latr,,,,,
ɮ,999,(voiced) (lateral-release) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,-,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,frct,alvr,smpx,cons,plme,void,,,latr,,,,,
ɒ̆,1353,(brief) (voiced) (round) (open) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,+,-,+,-,+,-,+,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,,brev,,,back,roun,open,
iʊ,2402,(voiced) (unrounded-rounded) (close and nearclose) (front and nearback) (pulmonic-egressive) (vowel),0,+,-,-|+,0,-,-,+,-,0,0,+,-,0,+|-,+,-,-|+,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,,,,frnt|nbck,urrd,clos|ncls,
iʌ,1799,(voiced) (close and openmid) (front and back) (pulmonic-egressive) (vowel),0,+,-,-|+,0,-,-,+,-,0,0,+,-,0,+|-,+|-,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,,,,frnt|back,,clos|omid,
ɒ̃,930,(voiced) (nasal-vowel and round) (open) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,+,+,+,-,+,-,-,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,,,,,back,vnsl|roun,open,
ɾ̪̊,2860,(voiceless) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,voil,,,,,,,,
w̥,1907,(voiceless) (labialized) (velar) (pulmonic-egressive) (approximant) (simplex) (consonant),0,+,0,+,-,-,-,+,-,0,0,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,0,-,+,+,-,0,-,-,+,0,-,appr,velr,smpx,cons,plme,voil,,,lblz,,,,,
w̤,2753,(breathy) (labialized) (velar) (pulmonic-egressive) (approximant) (simplex) (consonant),0,+,0,+,-,-,-,+,-,0,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+,0,-,+,+,-,0,-,-,+,0,-,appr,velr,smpx,cons,plme,brth,,,lblz,,,,,
ʈʰː,1302,(long) (voiceless) (retroflex) (pulmonic-egressive) (stop) (post-aspirated) (consonant),-,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,+,0,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-,stop,rtfx,tasp,cons,plme,voil,,long,,,,,,
iɨ,2261,(voiced) (close and close) (front and central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+|-,+,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,frnt|cntr,,clos|clos,
x̟ʲ,148,(voiceless) (advanced) (palatalized) (velar) (fricative) (simplex) (consonant),0,-,0,+,-,+,-,+,-,+,0,+,-,-,+,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,0,0,-,frct,velr,smpx,cons,,voil,advc,,pltz,,,,,
w̰,383,(creaky) (labialized) (velar) (pulmonic-egressive) (approximant) (simplex) (consonant),0,+,0,+,-,-,+,+,-,0,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+,0,-,+,-,-,0,-,-,+,0,-,appr,velr,smpx,cons,plme,crky,,,lblz,,,,,
qχʷʼ,150,(voiceless) (labialized) (uvular) (glottal-egressive) (affricate) (post-glottalized) (consonant),0,-,0,+,-,+,+,-,-,+,0,+,+,-,-,-,-,+,0,-,-,-,-,-,-,+,0,-,-,-,-,0,-,-,0,0,-,affr,uvlr,tglz,cons,glte,voil,,,lblz,,,,,
ɔ̃ˤː,1670,(long) (voiced) (nasalized) (pharyngealized) (nasal-vowel and round) (openmid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,+,+,-,+,+,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,nasz,long,phrz,,back,vnsl|roun,omid,
iə,1509,(voiced) (close and mid) (front and central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+|-,+|-,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,,,,frnt|cntr,,clos|vmid,
ɱ,453,(voiced) (labiodental) (pulmonic-egressive) (nasal) (simplex) (consonant),0,-,0,0,-,+,-,-,-,0,0,-,-,-,0,0,-,+,+,-,-,0,+,+,-,-,0,-,+,-,-,0,-,-,0,0,-,nasl,lbdt,smpx,cons,plme,void,,,,,,,,
iɛ,1085,(voiced) (close and openmid) (front and front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+|-,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,,,,frnt|frnt,,clos|omid,
nl,1858,(voiced) (lateral-release) (alveolar) (pulmonic-egressive) (approximant) (pre-nasalized) (consonant),+,-|+,0,0,-,+,-,-|+,+,0,-,-,-,-,0,0,-,-,0,-|+,-,0,+|-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,alvr,pnsz,cons,plme,void,,,latr,,,,,
ëː,2855,(long) (voiced) (centralized) (closemid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,-,0,-,+,-,-,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,ctrz,long,,,frnt,,cmid,
fʷː,1037,(long) (voiceless) (labialized) (labiodental) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,0,-,+,-,+,-,+,0,-,-,-,0,0,-,+,+,-,+,0,-,-,-,+,0,-,-,-,-,0,-,-,0,0,-,frct,lbdt,smpx,cons,plme,voil,,long,lblz,,,,,
nd,41,(voiced) (alveolar) (pulmonic-egressive) (stop) (pre-nasalized) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,+|-,+,-,0,0,-,+|-,-,-,-,-,-,0,0,-,stop,alvr,pnsz,cons,plme,void,,,,,,,,
ɖr,2482,(voiced) (rhotacized) (retroflex) (pulmonic-egressive) (stop) (complex) (consonant),-|+,-|+,0,0,-,+,-,-|+,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-|+,-,-,-,-,-,0,0,-|+,stop,rtfx,cmpx,cons,plme,void,,,rhtz,,,,,
ɛ̰ː,2491,(long) (creaky) (openmid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,+,+,-,0,0,+,-,0,+,-,-,-,0,-,+,-,-,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,crky,,long,,,frnt,,omid,
ɛ̰ˑ,2492,(half-long) (creaky) (openmid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,+,+,-,0,0,+,-,0,+,-,-,-,0,-,+,-,-,+,-,0,-,+,+,-,-,0,+,-,-,0,-,,,,vowl,plme,crky,,hlng,,,frnt,,omid,
nz,916,(voiced) (alveolar) (pulmonic-egressive) (fricative) (pre-nasalized) (consonant),+,-,0,0,-,+,-,-|+,+,+,-,-,-,-,0,0,-,-,0,-,-,0,+|-,+,-,0,0,-,+|-,-,-,-|+,-,-,0,0,-,frct,alvr,pnsz,cons,plme,void,,,,,,,,
b̤ʲ,1108,(breathy) (palatalized) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,+,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,-,+,-,-,0,-,-,+,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,brth,,,pltz,,,,,
w̞,2237,(voiced) (lowered) (labialized) (velar) (pulmonic-egressive) (approximant) (simplex) (consonant),0,+,0,+,-,-,-,+,-,0,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+,0,-,+,-,-,0,-,-,+,0,-,appr,velr,smpx,cons,plme,void,lwrd,,lblz,,,,,
nr,1550,(voiced) (alveolar) (pulmonic-egressive) (trill) (pre-nasalized) (consonant),+,-|+,0,0,-,+,-,-|+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,+|-,+,-,0,0,-,+,-,-,-,-,-,0,0,-|+,tril,alvr,pnsz,cons,plme,void,,,,,,,,
ns,1823,(voiceless) (alveolar) (pulmonic-egressive) (fricative) (pre-nasalized) (consonant),+,-,0,0,-,+,-,-|+,+,+,-,-,-,-,0,0,-,-,0,-,-,0,+|-,+|-,-,0,0,-,+|-,-,-,-|+,-,-,0,0,-,frct,alvr,pnsz,cons,plme,voil,,,,,,,,
nt,574,(voiceless) (alveolar) (pulmonic-egressive) (stop) (pre-nasalized) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,+|-,+|-,-,0,0,-,+|-,-,-,-,-,-,0,0,-,stop,alvr,pnsz,cons,plme,voil,,,,,,,,
qχʷˤ,1459,(voiceless) (labialized and pharyngealized) (uvular) (pulmonic-egressive) (affricate) (complex) (consonant),0,-,-,+,-,+,-,-,-,+,0,+,-,-,-,-,-,+,0,-,-,-,-,-,-,+,+,-,-,-,-,0,-,-,0,0,-,affr,uvlr,cmpx,cons,plme,voil,,,lblz|phrz,,,,,
d̠ʒ̤ː,1341,(long) (breathy) (retracted) (postalveolar) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,-,+,-,+,-,-,0,0,-,affr,palv,cmpx,cons,plme,brth,retr,long,,,,,,
ɥ̥,1230,(voiceless) (palatal) (pulmonic-egressive) (approximant) (simplex) (consonant),0,+,0,-,-,-,-,+,-,0,0,+,-,-,+,+,-,+,-,-,-,-,-,-,-,+,0,-,+,+,-,0,-,-,+,0,-,appr,palt,smpx,cons,plme,voil,,,,,,,,
b̤ː,1342,(long) (breathy) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,-,0,0,-,+,-,-,+,0,-,+,-,-,0,-,-,+,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,brth,,long,,,,,,
ə,226,(voiced) (mid) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,cntr,,vmid,
ɺ̠̰,1704,(creaky) (retracted) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),-,+,0,0,-,+,+,+,+,0,+,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,crky,retr,,,,,,,
t̻ʰː,1305,(long) (voiceless) (laminal) (alveolar) (pulmonic-egressive) (stop) (post-aspirated) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,+,0,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-,stop,alvr,tasp,cons,plme,voil,lmnl,long,,,,,,
ŋɡ̟,486,(voiced) (advanced) (velar) (stop) (pre-nasalized) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,+,+,-,-,0,-,-,-,+|-,+,-,0,0,-,+|-,-,-,0,-,-,0,0,-,stop,velr,pnsz,cons,,void,advc,,,,,,,
ɨ˞,849,(voiced) (rhotacized) (close) (central) (pulmonic-egressive) (vowel),+,+,-,-,0,-,-,+,+,0,+,+,-,0,-,+,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,+,+,-,+,0,-,,,,vowl,plme,void,,,rhtz,,cntr,,clos,
lᶣ,2464,(voiced) (alveolar) (pulmonic-egressive) (approximant) (simplex) (consonant),+,+,0,+,-,+,-,+,+,0,-,+,-,-,+,+,-,+,0,+,-,-,-,+,-,+,0,-,+,-,-,-,-,-,0,0,-,appr,alvr,smpx,cons,plme,void,,,,,,,,
o̤ː,1317,(long) (breathy) (round) (closemid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,-,+,-,+,-,-,+,+,-,0,+,-,+,0,-,,,,vowl,plme,brth,,long,,,back,roun,cmid,
o̤ˑ,2499,(half-long) (breathy) (round) (closemid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,-,+,-,+,-,+,+,+,-,0,+,-,+,0,-,,,,vowl,plme,brth,,hlng,,,back,roun,cmid,
ɨː,82,(long) (voiced) (close) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,+,-,-,0,-,+,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,long,,,cntr,,clos,
ɨˑ,2848,(half-long) (voiced) (close) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,+,-,-,0,-,+,-,-,+,-,0,-,+,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,hlng,,,cntr,,clos,
ɥ̃,1175,(voiced) (nasalized) (palatal) (pulmonic-egressive) (approximant) (simplex) (consonant),0,+,0,-,-,-,-,+,-,0,0,+,-,-,+,+,-,+,-,-,-,-,+,+,-,+,0,-,+,-,-,0,-,-,+,0,-,appr,palt,smpx,cons,plme,void,nasz,,,,,,,
ħʷ,1027,(voiceless) (labialized) (pharyngeal) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,+,-,+,-,+,-,+,0,+,-,-,-,-,-,+,0,-,-,+,-,-,-,+,0,-,-,-,-,0,-,-,0,0,-,frct,phry,smpx,cons,plme,voil,,,lblz,,,,,
eˤ,2576,(voiced) (pharyngealized) (closemid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-,-,-,0,-,-,-,-,+,-,0,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,phrz,,frnt,,cmid,
eˠ,1850,(voiced) (velarized) (closemid) (front) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,vlrz,,frnt,,cmid,
t͉s,775,(voiceless) (alveolar) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,-,-,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,alvr,cmpx,cons,plme,voil,,,,,,,,
ɱvɾ,2808,(voiced) (rhotacized) (labiodental) (pulmonic-egressive) (fricative) (pre-nasalized) (consonant),+,-|+,0,0,-,+,-,-|+|+,-|+,+,-,-,-,-,0,0,-,+|-,+,-,-,0,+|-|-,+,-,-,0,-,+|-|+,-,-,-,-,-|+,0,0,-,frct,lbdt,pnsz,cons,plme,void,,,rhtz,,,,,
kǃ͓,1810,(voiceless) (mid-centralized) (alveolar) (velaric-ingressive) (click) (complex) (consonant),+,-,0,-,+,+,-,-,+,+,-,+,-,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,alvr,cmpx,cons,veli,voil,mctr,,,,,,,
