Number,Language,"Alternate name(s)",Dialect,Location,Population,Classification,Dictionary,Grammar,Textbooks,"Other Sources",Consonants,Stops,Affricates,Fricatives,Nasals,Laterals,Vibrants,Clicks,"Modified Consonants",Glides,Vowels,"Front vowels","Central vowels","Back vowels","Long vowels","Nasal Vowels","Modified Vowels",Diphthongs,Syllable,Tones,Stress,"Noun number","Noun classes",Gender,Demonstratives,Articles,Pronouns,Syntax,Ergative,"Noun incorporation","Prepositions or postpositions",Comments
1334,Shawiya,,,"NE Algeria",,"Afro-Asiatic: Berber: Northern: Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,Tidikelt,,,Algeria,,"Afro-Asiatic: Berber: Northern: Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,Tuat,,,"C Algeria",,"Afro-Asiatic: Berber: Northern: Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,Riff,,,"N Morocco","1 million","Afro-Asiatic: Berber: Northern: Zenati","Ibañez, Esteban. 1959. Diccionario español-senhayi. Madrid: Instituto de Estudios Africanos.",,,WALS,"§p       k  q
b        ɡ
         ǧ
m n   ñ
     l   ʎ
     r"," p b   k ɡ q",ǧ,,"m n ñ","l ʎ",r,,"§c 
cɑ t d s z",j,§,"i e"," a","u o",,,,,,,,,,,,,,SVO,,,,
1338,Ghmara,,,Morocco,extinct,"Afro-Asiatic: Berber: Northern: Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,Tlemcen,,,Algeria,,"Afro-Asiatic: Berber: Northern: Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,"Sheliff Basin",,,Algeria,,"Afro-Asiatic: Berber: Northern: Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,Gurara,,,"C Algeria",,"Afro-Asiatic: Berber: Northern: Zenati: Mzab-Wargla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Mzab,,,"NC Algeria",,"Afro-Asiatic: Berber: Northern: Zenati: Mzab-Wargla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,Wargla,,,"NE Algeria",,"Afro-Asiatic: Berber: Northern: Zenati: Mzab-Wargla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,Ghardaia,,,"NC Algeria",,"Afro-Asiatic: Berber: Northern: Zenati: Mzab-Wargla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,Tugurt,,,Algeria,,"Afro-Asiatic: Berber: Northern: Zenati: Mzab-Wargla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,Tmagurt,,,"S Tunisia",extinct,"Afro-Asiatic: Berber: Northern: Zenati: East Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,Sened,,,"S Tunisia",extinct,"Afro-Asiatic: Berber: Northern: Zenati: East Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,Jerba,,,"S Tunisia",,"Afro-Asiatic: Berber: Northern: Zenati: East Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Tamezret,,,Tunisia,,"Afro-Asiatic: Berber: Northern: Zenati: East Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,Taujjut,,,Tunisia,,"Afro-Asiatic: Berber: Northern: Zenati: East Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,Zwara,,,Libya,,"Afro-Asiatic: Berber: Northern: Zenati: East Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,Nefusi,,,Libya,,"Afro-Asiatic: Berber: Northern: Zenati: East Zenati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,Proto-Chadic,,,"N Africa",,"Afro-Asiatic: Chadic",,,,"Newman, Paul. 1977. Chadic Classification and Reconstructions, Afroasiatic Linguistics 5:1.","§p   t     c    k
b ɓ d ɗ  ɉ ʄ  ɡ
f     s     š    x
      z
m   n
       ɬ
       r","p b ɓ t d ɗ c ɉ ʄ k ɡ",,"f s z š x","m n",ɬ,r,,"§cj k ɡ x 
cʷ k ɡ x 
?Nc mb ...","j w",§,i,"ə a",u,"v a only",,,,,"hi lo (perhaps a pitch accent)",,,,,,,,,,,,
1354,Masa,,,"SW Chad (W TandjilВ)","55,000","Afro-Asiatic: Chadic: Masa",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f",,,,"SVO NG",,,,
1355,Zime,,,Chad,,"Afro-Asiatic: Chadic: Masa",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,Mesme,,,Chad,,"Afro-Asiatic: Chadic: Masa",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,Marba,,,"SW Chad (W TandjilВ)","5,000","Afro-Asiatic: Chadic: Masa",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,Musey,,,"N Cameroon","48,000","Afro-Asiatic: Chadic: Masa",,"Platiel, Suzanne. 1968. Esquisse d'une étude du musey. BSELAF 6.",,,"§ p    t      k
b mb d      ɡ
            č 
            ǧ
f       s  ҫ     h
v       z
m      n    ŋ
         l
         r"," p b mb t d k ɡ","č ǧ","f v s z ҫ h","m n ŋ",l,r,,,j,§,"i e",a,"u o","v all",,"vowel harmony",,(C)V(C),"§hi mid lo
",,"s p",,"m f",,def,"§1 4ie
2mf 5
3mf 6","SVO NA NG ND N-NUM N-POSS",,,PREP,
1359,Somrai,,,"SW Chad (N TandjilВ)","50,000","Afro-Asiatic: Chadic: East: Group A: Somrai",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,Tumak,,,"SW Chad (E TandjilВ)"," 11,000","Afro-Asiatic: Chadic: East: Group A: Somrai","Caprile, Jean-Pierre. 1975. Lexique tumak-franҫais. Berlin: Dietrich Reimer.",,,,"§ p          k
b ɓ  ɗ̪     ɡ ŋɡ
             ǧ
      s                 h
m        ñ ŋ
       
       r ṛ"," p b ɓ   ɗ̪ k ɡ ŋɡ",ǧ,"s h","m  ñ ŋ",,"r ṛ",,"Nc b d ɡ ǧ","j w",§,"i e (ɛ)","ə a","u o ɔ","v all","ũ õ",,,(C)V(C),"hi mid lo ris fall",,"s p",,"m f",,,"§1 4de 4i
2mf 5
3mf 6","SVO GN N-NUM N-POSS",,,PREP,
1361,Ndam,,,"SW Chad (SE TandjilВ)",670,"Afro-Asiatic: Chadic: East: Group A: Somrai",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,Sarwa,,,"SW Chad (S Chari-Baguirimi)",400,"Afro-Asiatic: Chadic: East: Group A: Somrai",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,Gadang,,,Chad,,"Afro-Asiatic: Chadic: East: Group A: Somrai",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,Mod,,,Chad,,"Afro-Asiatic: Chadic: East: Group A: Somrai",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,Miltu,,,"SC Chad (NW Moyen-Chari)",,"Afro-Asiatic: Chadic: East: Group A: Somrai",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,Nancere,,,"SW Chad (S TandjilВ)","35,000","Afro-Asiatic: Chadic: East: Group A: Nancere",,,,"Hoffman, Carl. 1971. ""On the Classification of Nancere,"" JWAL 8, 5-12.","§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f",,,"§1 4ie
2mf 5
3mf 6",,,,,
1367,Lele,,,Chad,,"Afro-Asiatic: Chadic: East: Group A: Nancere",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1368,Gabri,,,"N Central African Republic",,"Afro-Asiatic: Chadic: East: Group A: Nancere",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,Kabalai,,,Chad,,"Afro-Asiatic: Chadic: East: Group A: Nancere",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,Kera,,,Chad,,"Afro-Asiatic: Chadic: East: Group A: Kera",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1371,Kwang,,,Chad,,"Afro-Asiatic: Chadic: East: Group A: Kera",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,Mokulu,,,Chad,,"Afro-Asiatic: Chadic: East: Group B",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,Dangla,Dangaleat,,"SC Chad (N Guera)"," 18,000","Afro-Asiatic: Chadic: East: Group B: Dangla","Fédry, Jacques. 1971. Dictionnaire dangaléat. Lyon: Afrique et Langage.",,,"§ Fédry, Jacques. 1969. ""Syntagmes de détermination en dangaléat,"" JWAL 6, 5-19.
Fédry, Jacques. 1971a. ""Masculin, féminin et collectif en dangaléat (groupe 'sokoro-mubi' - Tchad,"" JAL 10, 34-46.
 Fédry, Jacques. 1971b. Phonologie du dangaléat. Lyon: Afri","§ p      c   k
b ɓ  ɗ̪ ɉ ʄ ɡ
       s 
       z
m       ñ  ŋ
       l
       r"," p b ɓ   ɗ̪ c ɉ ʄ k ɡ",,"s z","m  ñ ŋ",l,r,,"§c all
Nc"," j w",§,"i e ɛ",a,"u o ɔ","v all",,"vowel harmony",,(C)V(C),"hi lo ris fall","root initial"," s p",,"m f",,def,"§1 4
2mf 5
3mf 6","SVO NA NG ND N-NUM N-POSS",,,PREP,
1374,Migama,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,Mahwa,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,Jegu,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,Mogum,,,"SC Chad (C  Guera)","6,000","Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,Bidiyo,Bidiya,,Chad,"14,000","Afro-Asiatic: Chadic: East: Group B: Dangla",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1379,Mubi,,,"SW Chad (NE Guera)","36,000","Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,Masmaje,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,Kajakse,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,Kujarge,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,Toram,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Dangla",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,Sokoro,,,"SW Chad (C Guera)","8,000","Afro-Asiatic: Chadic: East: Group B: Sokoro",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,Barain,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Sokoro",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,Saba,,,Chad,,"Afro-Asiatic: Chadic: East: Group B: Sokoro",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Tera,,,"NE Nigeria (North-Eastern)","50,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Tera",,"Newman, Paul. 1970. A Grammar of Tera. UCPL 57.",,"Newman, Paul. 1964. ""A Word List of Tera,"" JWAL 1:2, 33-50.","§p        t                  k kʷ
b mb ɓ d nd ɗ ʄ        ɡ ɡʷ ŋɡ ŋɡʷ ɠ
                     č 
                     ǧ ñǧ
f          s        š        x xʷ
v         z        ž        ɣ ɣʷ
m        n        ñ        ŋ
            l ɬ 
              ɮ
","p b mb ɓ t d nd ɗ ʄ k kʷ ɡ ɡʷ ŋɡ ŋɡʷ ɠ","č ǧ ñǧ","f v s z š ž x xʷ ɣ ɣʷ","m n ñ ŋ","l ɬ ɮ",r,," cj p ɓ v","j (w)",§,"i e","ɨ a","u o","v all",,,,,"hi mid lo",,"s p",,,"2 + ref","def indef","§1 4
2 5
3 6","SVO NA NG ND N-NUM N-POSS",,,PREP,
1388,Jara,,,"NE Nigeria (North-Eastern)","40,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Tera",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,Ga'anda,,,"E Nigeria (North-Eastern)","10,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Tera",,,,"Newman, Roxana Ma. 1971. ""Downstep in Ga'anda,"" JAL 10, 15-27.","§p         t            k kʷ
mb ɓ nd ɗ       ŋɡ ŋɡʷ
                 č
                        ñǧ
f         s      š     x xʷ
m       n             ŋ
          l ɬ
          r","p mb ɓ t nd ɗ k kʷ ŋɡ ŋɡʷ","č ñǧ","f s š x xʷ","m n ŋ","l ɬ",r,,"cʷ k ŋɡ x"," j ʔj w",§,"i e","ə a","u o","v all",,,,(C)V(C),"hi mid lo (ris) (fall) downstep downdrift",," s p",,,,def,,"SVO NA NG ND N-POSS",,,PREP,
1390,Hona,,,Nigeria,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Tera",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Bura,,Pabir,"NE Nigeria (North-Eastern)","100,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,STAL,"§p   t         k  ʔ
b ɓ d ɗ      ɡ
      ts    č
     dz    ǧ
f    s      š  x  h
v   z      ž  ɣ
m  n      ñ  ŋ
     l ɬ  
       ɮ
     r","p b ɓ t d ɗ k ɡ ʔ","ts dz č ǧ","f v s z š ž x ɣ h","m n ñ ŋ","l ɬ ɮ",r,,,"j ʔj w ʔw",§,"i e","ɨ a","u o",,,,,,"hi lo",,,,,,,,,,,,
1392,Chibak,,,"NE Nigeria (North-Eastern)","20,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,Putai,,,Nigeria,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Margi,,Lassa,"NE Nigeria (North-Eastern)","151,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,"§STAL 
WALS","§p   t         k ʔ
b ɓ d ɗ      ɡ
      ts     č
      dz    ǧ
f     s     š  x
v    z     ž  ɣ
m   n     ñ  ŋ
      l ɬ 
        ɮ
      r","p b ɓ t d ɗ k ɡ ʔ","ts dz č ǧ","f v s z š ž x ɣ","m n ñ ŋ","l ɬ ɮ",r,,,"j ʔj w ʔw",§,"i e","ɨ a","u o",,,,,,"hi lo",,,,,,,,SVO,,,,
1395,Margi,,,"NE Nigeria (North-Eastern)","151,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,"Hoffman, Carl. 1963. A Grammar of the Margi Language. London: Oxford Univ Press.",,,"§p  pt        t    c             k  ʔ
b ɓ bd bɗ d ɗ ɉ              ɡ
  pts          ts   pč   č
  bdz         dz  bǧ   ǧ
f fs           s    fҫ    š  ҫ    x
v vz         z    vj    ž  j    ɣ
m             n    mñ  ñ       ŋ
                l ɬ   bɮ
","p b ɓ pt bd bɗ t d ɗ c ɉ k ɡ ʔ","pts bdz ts dz pč bǧ č ǧ","f v fs vz s z š ž ҫ j  fҫ vj  x ɣ","m n mñ ñ ŋ","bɮ l ɬ ɮ","(v) r",,"§Nc p b t d c ɉ k ɡ kʷ ɡʷ ts dz č ǧ š ɬ  
cʷ p b ɓ mb t nt k ɡ ŋk ŋɡ nts f v s x ɣ m ŋ ɬ","j ʔj w ʔw",§,"i ɛ","ə a","u ɔ",,,,,,"hi lo ris (fall)",,,,,,,,,,,,
1396,Kilba,,,"NE Nigeria (North-Eastern)","80,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,STAL,"§p   t         k  ʔ
b ɓ d ɗ      ɡ
       ts     č
       dz   ǧ
f      s     š  x  h
v     z     ž  ɣ
m    n     ñ ŋ
        l ɬ 
          ɮ
         r","p b ɓ t d ɗ k ɡ ʔ","ts dz č ǧ","f v s z š ž x ɣ h","m n ñ ŋ","l ɬ ɮ",r,,,"j ʔj w ʔw",§,"i e","ɨ a","u o",v,,,,,"§hi lo
",,,,,,,,,,,,
1397,Higi,," Nkafa","NE Nigeria (North-Eastern)","203,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,"§Mohrlang, Roger. 1971. ""Vectors, Prosodies, and Higi Vowels,"" JAL 10, 75-86.
 Mohrlang, Roger. 1972. Higi Phonology. Studies in Nigerian Languages, No. 2. Zaria: Institute of  Linguistics. 


","§p   t        k ʔ
b ɓ d ɗ     ɡ
      ts      č
      dz   ǧ
f     s     š  x
v     z    ž  ɣ
m    n        ŋ
       l ɬ 
         ɮ
v     r"," p b ɓ t d ɗ k ɡ ʔ","ts dz č ǧ","f v s z š ž x ɣ","m n ŋ","l ɬ ɮ","v r",,"§Nc p b t d k ɡ ts dz č ǧ 
cj all but r 
cʷ all but l","j w",§,"i e ɛ",a,"u o",,,,,(C)V,"hi lo ris",,,,,2,,"§1 4ie
2 5
3 6","SVO NA NG ND N-POSS",,,PREP,
1398,Higi,," Baza","NE Nigeria (North-Eastern)","203,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,STAL,"§p   t          k   ʔ
b ɓ d ɗ       ɡ
       ts     č
      dz     ǧ
f     s       š  x   h
v     z      ž  ɣ
m    n      ñ ŋ
       l ɬ 
         ɮ
         r","p b ɓ t d ɗ k ɡ ʔ","ts dz č ǧ","f v s z š ž x ɣ h","m n ñ ŋ","l ɬ ɮ",r,,,"j w ʔw",§," i e","ɨ a","u o",,,,,,"§hi lo
",,,,,,,,,,,,
1399,Bana,,,Cameroon,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Bura-Higi",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,Sukur,,,"NE Nigeria (North-Eastern)","10,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,Lamang,,,Nigeria,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Mandara",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,VSO,,,,
1402,Mandara,Malgwa,,"NE Nigeria (North-Eastern)","190,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Mandara",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1403,Paduko,Podokwo,,"N Cameroon","10,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Mandara",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,VSO,,,,
1404,Glavda,,,"NE Nigeria (North-Eastern)","19,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Mandara","§Rapp, Eugen Ludwig, Brigitta Benzing and Christraud Mühle. 1968, 1969.
Dictionary of the Glavda Language, 2 vols. Frankfurt on Main: Frankfurt on Main Bible Society.",,,,"§p   t           k
b ɓ d ɗ        ɡ ŋɡ
       tl     č
       dl   ǧ
f      s    š ҫ  x
v      z   ž     ɣ
        n   ñ     ŋ ŋʷ ŋj
        l ɬ 
          ɮ
        r"," p b ɓ t d ɗ k ɡ ŋɡ"," tl dl č ǧ","f v s z š ž ҫ x ɣ","n ñ ŋ ŋʷ ŋj","l ɬ ɮ",r,,,"j w",§,"i e","ə a","u o",,,,,,"hi lo ris fall",,"s p",,,2,,"§1 4ie
2 5
3 6","SVO ND N-POSS",,,,
1405,Guduf,,,Nigeria,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Mandara",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Dghwede,,,Nigeria,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Mandara",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,Gvoko,,,Nigeria,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Mandara",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,Mafa,,,Cameroon,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Matakam",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,Mofu,Mofu-Gudur,Zulgo,"N Cameroon",,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Matakam",,,,"Haller, Beat. 1980. Phonology of Zulgo. Yaoundé, Cameroon: Institut des Sciences Humaines.","§p        t         k     kʷ ʔ
b mb ɓ d nd ɗ ɡ ŋɡ ɡʷ
           ts
           dz ndz
f          s                      h
v         z
m        n        ŋ
           l ɬ 
             ɮ
           r"," p b mb ɓ t d nd ɗ k kʷ ɡ ŋɡ ɡʷ ʔ","ts dz ndz"," f v s z h","m n ŋ","l ɬ ɮ",r,,c," j w",§,"i y ɛ œ","ɨ a","u ɔ",(v),,"vowel harmony",,(C)V(C),"hi mid lo downstep",,,,,,,"§1 4
2 5
3 6","SVO NA NG ND N-NUM N-POSS",,,PREP,
1410,Gisiga,,,"N Cameroon","44,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Matakam",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,Mada,,,Cameroon,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Matakam",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1412,Hurza,,,Cameroon,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Matakam",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,Muktele,,,Cameroon,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bura-Mandara: Mandara-Matakam: Matakam",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,Daba,,Musgoy,"N Cameroon","31,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Daba",,,,"Wedekind, Klaus. 1976. ""Kolá, tpalá, ou ʔkpalá ?: Notes sur les occlusives doubles dans la langue daba-mousgoy (Kola) du Nord-Cameroun,"" AFL 2, 91-104.","§p   pt        kt  k kʷ (ʔkp)
b ɓ bd  ɗ̪   ɡd ɡ ɡʷ
            s 
           z
f                                         h
v         
m        
             ɬ̪ 
              ɮ̪
            r","p b ɓ pt bd   ɗ̪ kt ɡd k kʷ ɡ ɡʷ (ʔkp)","s z","f v   h","m "," ɬ̪ ɮ̪",r,,"Nc b d ɡ dz","j w",§,"i (y) e (ø)","ə a","u o",,,,,(C)V(C),,,,,,,,,"SVO NG ND N-POSS",,,PREP,
1415,Gawar,,,Cameroon,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Daba",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,Hina,,,"N Cameroon","4,300","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Daba",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,Gudu,,,"E Nigeria (North-Eastern)",,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bata",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,Bata,,,"E Nigeria (North-Eastern)","39,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bata",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,Bata,,Bachama,"E Nigeria (North-Eastern)","39,000 (20,000)","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bata",,,,STAL,"§p   t        k kp ʔ
b ɓ d ɗ     ɡ ɡb
             č 
             ǧ
f     s                 h
v    z
m   n        ŋ
       l
       r"," p b ɓ t d ɗ k ɡ kp ɡb ʔ","č ǧ","f v s z h","m n ŋ",l," r",,,"j ʔj w",§,"i e","ɨ a","u o",v,,,,,"hi lo",,,,,,,,,,,,
1420,Gude,,,"NE Nigeria (North-Eastern)","10,000","Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bata",,,,"§Hoskison, James. 1974. ""Prosodies and Verb Stems in Gude,"" Linguistics 141, 17-26. 
WALS","§p   t    k ʔ
b ɓ d ɗ ɡ
      ts 
      dz
f     s    x
v    z    ɣ
m   n    ŋ
       l ɬ
       r"," p b ɓ t d ɗ k ɡ ʔ","ts dz","f v s z x ɣ","m n ŋ","l ɬ",r,,"Nc p b t d k ɡ s z x ɬ",,§,"I ɛ","ɨ a","ʋ ɔ",v,,,,CV,"hi lo",,,,,,,,VSO,,,,
1421,Nzangi,,,Nigeria,,"Afro-Asiatic: Chadic: Biu-Mandara: Group A: Bata",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,Musgu,,Vulum,"SW Chad (N Mayo-Kebbi)","50,000 (8,500)","Afro-Asiatic: Chadic: Biu-Mandara: Group B",,"Tourneux, Henry. 1978. Le mulwi ou vulum de mogroum (Tchad). Paris: SELAF.",,,"§p           k
b ɓ  ɗ     ɡ
f     s            h
v    z
m     (ñ)  ŋ
      l ɬ 
      ɮ
      ɾ","p b ɓ   ɗ k ɡ",,"f v s z h","m  (ñ) ŋ","l ɬ ɮ",ɾ,,,"j w",§,"i (y) e (ø)",a,"u o","i (ē) a u (ō)",,"vowel harmony",,"(C)(C)V(C) ","hi lo ris fall",,"s p",,"m f (sing only)",,def,"§1 4ie
2 5
3mf 6hN
N=non-hum","SVO NA NG ND N-NUM N-POSS",,,PREP,
1423,Gidar,,,"N Cameroon","50,000","Afro-Asiatic: Chadic: Biu-Mandara: Group B",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
